event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_size,roi_v_size,roi_uv_size_sum,roi_2d_size,roi_max_width,ML_success,CURRENT_success
8819,1368.0,1518.0,1406.0,1618.0,151.0,213.0,364.0,32163.0,213.0,True,False
8823,1053.0,1329.0,902.0,1503.0,277.0,602.0,879.0,166754.0,602.0,True,False
8826,1178.0,1328.0,1352.0,1564.0,151.0,213.0,364.0,32163.0,213.0,False,True
8829,3399.0,3549.0,2745.0,2957.0,151.0,213.0,364.0,32163.0,213.0,True,True
8834,607.0,757.0,820.0,1032.0,151.0,213.0,364.0,32163.0,213.0,True,True
8835,826.0,976.0,745.0,957.0,151.0,213.0,364.0,32163.0,213.0,True,True
8841,3348.0,3498.0,2802.0,3014.0,151.0,213.0,364.0,32163.0,213.0,True,False
8846,1663.0,1813.0,1633.0,1845.0,151.0,213.0,364.0,32163.0,213.0,True,True
8852,538.0,877.0,533.0,1181.0,340.0,649.0,989.0,220660.0,649.0,True,True
8855,3384.0,3534.0,2808.0,3020.0,151.0,213.0,364.0,32163.0,213.0,True,True
8860,1673.0,1823.0,1266.0,1478.0,151.0,213.0,364.0,32163.0,213.0,True,True
8862,1432.0,1582.0,1183.0,1395.0,151.0,213.0,364.0,32163.0,213.0,True,True
8864,851.0,1149.0,796.0,1409.0,299.0,614.0,913.0,183586.0,614.0,False,False
8869,3139.0,3289.0,2729.0,2941.0,151.0,213.0,364.0,32163.0,213.0,False,False
8871,1001.0,1282.0,870.0,1475.0,282.0,606.0,888.0,170892.0,606.0,False,False
8873,3091.0,3241.0,2228.0,2440.0,151.0,213.0,364.0,32163.0,213.0,True,False
8874,1186.0,1336.0,1345.0,1557.0,151.0,213.0,364.0,32163.0,213.0,True,False
8880,1160.0,1310.0,1006.0,1218.0,151.0,213.0,364.0,32163.0,213.0,True,False
8882,778.0,1073.0,958.0,1544.0,296.0,587.0,883.0,173752.0,587.0,True,True
8883,2885.0,3035.0,2061.0,2273.0,151.0,213.0,364.0,32163.0,213.0,True,True
896,2838.0,2988.0,2502.0,2714.0,151.0,213.0,364.0,32163.0,213.0,False,False
897,2173.0,2335.0,1451.0,1977.0,163.0,527.0,690.0,85901.0,527.0,True,True
898,1665.0,1815.0,1585.0,1798.0,151.0,214.0,365.0,32314.0,214.0,True,False
904,3381.0,3531.0,2486.0,2698.0,151.0,213.0,364.0,32163.0,213.0,True,True
905,1330.0,1480.0,1406.0,1618.0,151.0,213.0,364.0,32163.0,213.0,False,False
907,530.0,680.0,918.0,1130.0,151.0,213.0,364.0,32163.0,213.0,True,True
909,2291.0,2441.0,1525.0,1737.0,151.0,213.0,364.0,32163.0,213.0,True,False
912,1119.0,1269.0,1261.0,1473.0,151.0,213.0,364.0,32163.0,213.0,False,True
913,1750.0,1953.0,886.0,1489.0,204.0,604.0,808.0,123216.0,604.0,True,True
917,1621.0,1771.0,1174.0,1386.0,151.0,213.0,364.0,32163.0,213.0,True,False
918,3359.0,3509.0,2865.0,3077.0,151.0,213.0,364.0,32163.0,213.0,True,False
922,3260.0,3410.0,2790.0,3002.0,151.0,213.0,364.0,32163.0,213.0,True,True
923,2298.0,2448.0,1877.0,2089.0,151.0,213.0,364.0,32163.0,213.0,True,False
927,3177.0,3327.0,2628.0,2840.0,151.0,213.0,364.0,32163.0,213.0,False,True
928,1461.0,1611.0,1251.0,1464.0,151.0,214.0,365.0,32314.0,214.0,True,True
932,1778.0,1928.0,1688.0,1900.0,151.0,213.0,364.0,32163.0,213.0,False,False
934,1297.0,1447.0,1036.0,1248.0,151.0,213.0,364.0,32163.0,213.0,True,True
948,1532.0,1738.0,1531.0,2047.0,207.0,517.0,724.0,107019.0,517.0,False,False
950,1925.0,2075.0,1638.0,1850.0,151.0,213.0,364.0,32163.0,213.0,True,False
951,2553.0,2703.0,2447.0,2659.0,151.0,213.0,364.0,32163.0,213.0,False,True
952,3558.0,3924.0,2819.0,3158.0,367.0,340.0,707.0,124780.0,367.0,True,False
953,1647.0,1797.0,1655.0,1867.0,151.0,213.0,364.0,32163.0,213.0,True,False
956,3538.0,3688.0,2899.0,3111.0,151.0,213.0,364.0,32163.0,213.0,False,False
958,692.0,995.0,933.0,1520.0,304.0,588.0,892.0,178752.0,588.0,True,False
960,1134.0,1284.0,829.0,1041.0,151.0,213.0,364.0,32163.0,213.0,True,True
962,2605.0,2755.0,2494.0,2706.0,151.0,213.0,364.0,32163.0,213.0,True,False
965,2590.0,2740.0,2068.0,2280.0,151.0,213.0,364.0,32163.0,213.0,False,True
967,552.0,905.0,278.0,968.0,354.0,691.0,1045.0,244614.0,691.0,True,True
971,2516.0,2666.0,1794.0,2006.0,151.0,213.0,364.0,32163.0,213.0,True,False
980,1900.0,2050.0,1738.0,1950.0,151.0,213.0,364.0,32163.0,213.0,True,True
988,1161.0,1311.0,1285.0,1497.0,151.0,213.0,364.0,32163.0,213.0,True,False
993,2343.0,2493.0,2166.0,2379.0,151.0,214.0,365.0,32314.0,214.0,True,True
994,1580.0,1730.0,1467.0,1680.0,151.0,214.0,365.0,32314.0,214.0,True,False
996,3277.0,3427.0,2399.0,2611.0,151.0,213.0,364.0,32163.0,213.0,True,True
