event_id blob_id cy cx iy ix y_strip x_strip area real_area
197 1 128.000000 28.000000 128 28 2213 2497 1 1
197 2 149.130435 29.000000 149 29 2234 2498 23 23
198 0 60.000000 33.000000 60 33 1986 2049 15 15
199 0 36.500000 28.500000 36 28 1609 2223 4 4
199 1 37.000000 33.000000 37 33 1610 2228 1 1
199 2 37.000000 37.000000 37 37 1610 2232 1 1
200 0 57.000000 29.000000 57 29 2804 3335 49 49
201 0 73.500000 38.500000 74 38 3092 3650 16 16
202 0 75.500000 27.500000 76 28 2906 3548 4 4
203 0 55.500000 46.000000 56 46 2238 2947 12 12
206 0 55.454545 24.272727 55 24 2368 2661 11 11
206 1 99.500000 7.000000 100 7 2442 2629 2 2
207 0 39.531646 41.063291 40 41 1137 680 79 79
207 1 60.000000 42.000000 60 42 1198 681 1 1
207 2 72.000000 42.000000 72 42 1211 681 1 1
208 0 30.929577 12.563380 31 13 1159 1200 71 71
209 0 31.550000 21.700000 32 22 2565 2908 20 20
209 1 44.000000 22.000000 44 22 2583 2908 1 1
209 2 53.500000 0.500000 54 0 2614 2867 4 4
209 3 53.000000 33.000000 53 33 2613 2944 1 1
209 4 65.000000 1.000000 65 1 2666 2868 1 1
209 5 81.222222 22.444444 81 22 2692 2908 9 9
209 6 87.000000 21.000000 87 21 2698 2907 1 1
210 0 35.363636 35.909091 35 36 1597 1502 11 11
211 0 9.000000 10.500000 9 10 2219 2237 6 6
212 0 63.500000 66.500000 64 66 1576 1385 36 36
213 0 23.100000 1.800000 23 2 1305 1231 10 10
214 0 77.411765 33.117647 77 33 2654 3261 17 17
215 0 20.000000 36.000000 20 36 1575 1735 1 1
215 1 37.500000 36.000000 38 36 1594 1735 2 2
215 2 43.000000 27.000000 43 27 1599 1702 1 1
215 3 51.000000 27.000000 51 27 1624 1702 1 1
215 4 51.000000 36.000000 51 36 1624 1735 1 1
216 0 18.500000 12.000000 18 12 1713 2275 6 6
216 1 35.983471 31.090909 36 31 1746 2307 121 121
217 0 50.750000 13.000000 51 13 2061 2202 4 4
217 1 51.000000 49.000000 51 49 2061 2262 1 1
217 2 55.000000 13.000000 55 13 2065 2202 1 1
217 3 71.666667 13.333333 72 13 2097 2202 3 3
217 4 72.000000 32.000000 72 32 2097 2244 1 1
217 5 107.000000 13.000000 107 13 2151 2202 1 1
217 6 119.000000 13.000000 119 13 2164 2202 1 1
218 0 81.500000 36.500000 82 36 1965 2552 8 8
221 0 75.000000 45.500000 75 46 2072 2109 20 20
222 0 31.000000 39.500000 31 40 2342 2775 20 20
223 0 7.000000 18.000000 7 18 841 668 1 1
223 1 65.000000 18.500000 65 18 930 668 2 2
224 0 40.000000 30.000000 40 30 2318 2474 1 1
224 1 40.000000 42.000000 40 42 2318 2497 1 1
224 2 69.727273 41.363636 70 41 2354 2496 33 33
224 3 70.000000 30.000000 70 30 2354 2474 1 1
225 0 53.560976 29.926829 54 30 2982 3619 41 41
227 0 4.000000 21.500000 4 22 2258 2613 2 2
227 1 12.500000 21.500000 12 22 2303 2613 8 8
227 2 14.000000 30.000000 14 30 2306 2625 1 1
227 3 20.000000 22.000000 20 22 2312 2613 1 1
227 4 29.000000 29.000000 29 29 2339 2624 1 1
228 0 54.954128 22.541284 55 23 566 759 109 109
229 0 121.500000 35.000000 122 35 2001 1984 2 2
229 1 131.500000 35.500000 132 36 2026 1985 16 16
230 0 34.000000 38.000000 34 38 1945 2124 1 1
230 1 68.000000 32.000000 68 32 1992 2105 1 1
231 0 22.750000 16.000000 23 16 1711 1710 4 4
231 1 47.333333 39.666667 47 40 1740 1771 3 3
231 2 48.000000 8.000000 48 8 1741 1701 1 1
231 3 48.000000 32.000000 48 32 1741 1763 1 1
231 4 71.500000 33.500000 72 34 1784 1765 2 2
232 0 86.057143 32.200000 86 32 2124 2144 35 35
233 0 22.500000 30.818182 22 31 2703 2990 44 44
234 0 34.500000 14.500000 34 14 2018 2346 8 8
234 1 52.000000 13.875000 52 14 2046 2346 8 8
235 0 42.600000 34.600000 43 35 2395 2569 15 15
236 0 0.000000 33.000000 0 33 1811 1989 1 1
