event_id blob_id cy cx iy ix y_strip x_strip area real_area
217 0 35.000000 30.000000 35 30 1769 2226 9 9
218 0 2.000000 8.000000 2 8 880 865 1 1
218 1 29.400000 7.600000 29 8 956 865 15 15
218 2 30.000000 38.000000 30 38 957 902 1 1
219 0 50.000000 81.000000 50 81 3107 3830 15 15
220 0 20.000000 30.000000 20 30 1948 2138 1 1
220 1 38.000000 30.000000 38 30 1987 2138 1 1
220 2 44.666667 30.444444 45 30 1994 2138 9 9
220 3 80.000000 30.000000 80 30 2032 2138 9 9
221 0 43.088235 49.941176 43 50 2229 3068 34 34
222 0 39.000000 33.000000 39 33 1381 1616 1 1
222 1 47.000000 33.000000 47 33 1390 1616 9 9
223 0 16.916667 28.916667 17 29 2070 2498 24 24
223 1 128.000000 28.000000 128 28 2213 2497 1 1
223 2 149.130435 29.000000 149 29 2234 2498 23 23
224 0 29.000000 71.000000 29 71 870 778 1 1
224 1 100.000000 14.000000 100 14 985 659 1 1
224 2 100.000000 24.000000 100 24 985 669 1 1
224 3 100.000000 29.000000 100 29 985 697 1 1
224 4 100.000000 34.000000 100 34 985 713 1 1
224 5 100.000000 46.000000 100 46 985 745 1 1
224 6 100.000000 63.000000 100 63 985 770 3 3
224 7 100.000000 115.500000 100 116 985 873 2 2
224 8 110.000000 106.000000 110 106 996 840 1 1
224 9 132.500000 62.500000 132 62 1027 769 4 4
224 10 133.000000 29.000000 133 29 1028 697 1 1
224 11 142.000000 72.000000 142 72 1038 779 1 1
224 12 147.000000 63.000000 147 63 1042 770 1 1
224 13 210.000000 46.000000 210 46 1136 745 1 1
224 14 222.200000 62.400000 222 62 1148 769 5 5
224 15 222.500000 29.000000 222 29 1148 697 2 2
224 16 222.500000 34.500000 222 34 1148 713 2 2
224 17 222.000000 46.000000 222 46 1148 745 1 1
224 18 222.000000 102.000000 222 102 1148 836 1 1
224 19 222.800000 115.400000 223 115 1149 872 5 5
224 20 232.000000 62.750000 232 63 1165 770 4 4
224 21 265.000000 29.000000 265 29 1214 697 1 1
224 22 265.000000 63.000000 265 63 1214 770 1 1
224 23 265.000000 115.500000 265 116 1214 873 2 2
224 24 293.500000 29.000000 294 29 1283 697 2 2
224 25 293.000000 63.000000 293 63 1282 770 1 1
224 26 293.000000 115.500000 293 116 1282 873 2 2
224 27 297.000000 29.000000 297 29 1286 697 1 1
224 28 344.000000 115.500000 344 116 1374 873 6 6
224 29 344.500000 29.000000 344 29 1374 697 2 2
224 30 344.000000 46.000000 344 46 1374 745 1 1
224 31 344.333333 62.666667 344 63 1374 770 3 3
224 32 344.000000 102.000000 344 102 1374 836 1 1
225 0 60.000000 33.000000 60 33 1986 2049 15 15
226 0 36.500000 28.500000 36 28 1609 2223 4 4
226 1 37.000000 33.000000 37 33 1610 2228 1 1
226 2 37.000000 37.000000 37 37 1610 2232 1 1
227 0 57.000000 29.000000 57 29 2804 3335 49 49
228 0 73.500000 38.500000 74 38 3092 3650 16 16
229 0 75.500000 27.500000 76 28 2906 3548 4 4
230 0 55.500000 46.000000 56 46 2238 2947 12 12
233 0 38.193548 54.774194 38 55 809 1039 31 31
233 1 38.000000 10.000000 38 10 809 907 3 3
233 2 38.500000 39.500000 38 40 809 1024 2 2
233 3 40.000000 10.000000 40 10 811 907 3 3
233 4 49.000000 79.000000 49 79 889 1064 1 1
233 5 133.000000 79.500000 133 80 1126 1065 2 2
233 6 138.000000 80.000000 138 80 1130 1065 1 1
233 7 165.500000 79.500000 166 80 1159 1065 2 2
233 8 221.000000 57.000000 221 57 1239 1041 1 1
233 9 243.500000 79.500000 244 80 1277 1065 2 2
233 10 267.000000 56.000000 267 56 1311 1040 1 1
234 0 55.454545 24.272727 55 24 2368 2661 11 11
234 1 99.500000 7.000000 100 7 2442 2629 2 2
235 0 39.531646 41.063291 40 41 1137 680 79 79
235 1 60.000000 42.000000 60 42 1198 681 1 1
235 2 72.000000 42.000000 72 42 1211 681 1 1
236 0 30.929577 12.563380 31 13 1159 1200 71 71
237 0 31.684211 21.631579 32 22 2565 2908 19 19
237 1 44.000000 22.000000 44 22 2583 2908 1 1
237 2 53.500000 0.500000 54 0 2614 2867 4 4
237 3 53.000000 33.000000 53 33 2613 2944 1 1
237 4 65.000000 1.000000 65 1 2666 2868 1 1
237 5 81.222222 22.444444 81 22 2692 2908 9 9
