event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
131 70 280 1179.00000000 1440.00000000 964.00000000 1558.00000000 261.00000000 594.00000000
132 58 77 2703.00000000 2853.00000000 2204.00000000 2416.00000000 150.00000000 212.00000000
133 40 83 2257.00000000 2407.00000000 1630.00000000 1842.00000000 150.00000000 212.00000000
134 79 120 1539.00000000 1689.00000000 1567.00000000 1779.00000000 150.00000000 212.00000000
135 50 109 2966.00000000 3116.00000000 2567.00000000 2779.00000000 150.00000000 212.00000000
136 70 248 654.00000000 971.00000000 751.00000000 1367.00000000 317.00000000 616.00000000
137 100 122 2844.00000000 2994.00000000 2538.00000000 2750.00000000 150.00000000 212.00000000
138 47 73 2782.00000000 2932.00000000 2334.00000000 2546.00000000 150.00000000 212.00000000
139 30 57 1859.00000000 2009.00000000 1677.00000000 1889.00000000 150.00000000 212.00000000
140 40 27 3520.00000000 3670.00000000 2884.00000000 3096.00000000 150.00000000 212.00000000
141 99 197 578.00000000 905.00000000 677.00000000 1303.00000000 327.00000000 626.00000000
142 25 65 1815.00000000 1965.00000000 1252.00000000 1464.00000000 150.00000000 212.00000000
143 61 86 3216.00000000 3366.00000000 2229.00000000 2442.00000000 150.00000000 213.00000000
144 31 63 2524.00000000 2674.00000000 2153.00000000 2365.00000000 150.00000000 212.00000000
145 52 70 1704.00000000 1854.00000000 1636.00000000 1848.00000000 150.00000000 212.00000000
146 25 77 2136.00000000 2286.00000000 2128.00000000 2340.00000000 150.00000000 212.00000000
147 21 75 2807.00000000 2957.00000000 2031.00000000 2243.00000000 150.00000000 212.00000000
148 51 75 2414.00000000 2564.00000000 1918.00000000 2130.00000000 150.00000000 212.00000000
149 51 83 3379.00000000 3529.00000000 2894.00000000 3107.00000000 150.00000000 213.00000000
150 60 57 3301.00000000 3451.00000000 2768.00000000 2980.00000000 150.00000000 212.00000000
151 42 77 1960.00000000 2110.00000000 1703.00000000 1915.00000000 150.00000000 212.00000000
152 55 69 2931.00000000 3081.00000000 2417.00000000 2629.00000000 150.00000000 212.00000000
153 61 163 290.00000000 665.00000000 276.00000000 960.00000000 375.00000000 684.00000000
154 103 210 291.00000000 653.00000000 450.00000000 1105.00000000 362.00000000 655.00000000
155 41 92 3315.00000000 3465.00000000 2727.00000000 2939.00000000 150.00000000 212.00000000
156 69 89 1652.00000000 1802.00000000 1499.00000000 1711.00000000 150.00000000 212.00000000
157 19 75 1644.00000000 1794.00000000 1755.00000000 1967.00000000 150.00000000 212.00000000
158 36 72 2981.00000000 3131.00000000 2680.00000000 2892.00000000 150.00000000 212.00000000
159 26 74 2319.00000000 2469.00000000 1946.00000000 2158.00000000 150.00000000 212.00000000
160 91 73 3156.00000000 3306.00000000 2733.00000000 2945.00000000 150.00000000 212.00000000
161 18 106 3169.00000000 3319.00000000 2538.00000000 2750.00000000 150.00000000 212.00000000
162 133 222 2661.00000000 2898.00000000 1950.00000000 2407.00000000 237.00000000 457.00000000
163 58 107 1755.00000000 1905.00000000 1628.00000000 1840.00000000 150.00000000 212.00000000
164 44 109 2369.00000000 2519.00000000 1832.00000000 2044.00000000 150.00000000 212.00000000
165 28 88 1226.00000000 1376.00000000 1229.00000000 1441.00000000 150.00000000 212.00000000
166 29 82 1874.00000000 2024.00000000 1554.00000000 1766.00000000 150.00000000 212.00000000
167 58 90 2959.00000000 3109.00000000 2209.00000000 2421.00000000 150.00000000 212.00000000
168 32 155 1332.00000000 1563.00000000 1368.00000000 1904.00000000 231.00000000 536.00000000
169 66 98 3459.00000000 3609.00000000 2853.00000000 3065.00000000 150.00000000 212.00000000
170 28 55 1784.00000000 1934.00000000 1285.00000000 1497.00000000 150.00000000 212.00000000
171 45 88 2969.00000000 3243.00000000 2672.00000000 3044.00000000 274.00000000 372.00000000
172 50 102 2491.00000000 2641.00000000 1913.00000000 2125.00000000 150.00000000 212.00000000
173 49 69 3207.00000000 3357.00000000 2588.00000000 2800.00000000 150.00000000 212.00000000
174 39 75 2749.00000000 2899.00000000 2337.00000000 2549.00000000 150.00000000 212.00000000
175 52 66 2424.00000000 2574.00000000 1786.00000000 1998.00000000 150.00000000 212.00000000
176 100 86 2879.00000000 3029.00000000 2384.00000000 2596.00000000 150.00000000 212.00000000
177 51 87 3064.00000000 3214.00000000 2136.00000000 2348.00000000 150.00000000 212.00000000
