event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_width,roi_v_width,n_u_entries_inside_roi,n_v_entries_inside_roi,n_u_unique_inside_roi,n_v_unique_inside_roi,n_u_adcpos_entries_inside_roi,n_v_adcpos_entries_inside_roi,n_u_unique_adcpos_inside_roi,n_v_unique_adcpos_inside_roi,n_uv_entries_inside_roi,n_uv_unique_inside_roi,n_uv_adcpos_entries_inside_roi,n_uv_unique_adcpos_inside_roi
11182,1465.0,1615.0,1599.0,1811.0,151.0,213.0,37,80,37,80,37,80,37,80,117,117,117,117
11184,981.0,1131.0,723.0,935.0,151.0,213.0,101,97,101,97,101,97,101,97,198,198,198,198
11186,483.0,845.0,226.0,923.0,363.0,698.0,45,131,45,131,45,131,45,131,176,176,176,176
11191,834.0,984.0,660.0,872.0,151.0,213.0,37,57,37,57,37,57,37,57,94,94,94,94
11202,3035.0,3185.0,2491.0,2703.0,151.0,213.0,34,96,34,96,34,96,34,96,130,130,130,130
11206,1915.0,2065.0,1612.0,1824.0,151.0,213.0,59,92,59,92,59,92,59,92,151,151,151,151
11207,2404.0,2554.0,1889.0,2101.0,151.0,213.0,64,72,64,72,64,72,64,72,136,136,136,136
11212,3615.0,3765.0,2612.0,2824.0,151.0,213.0,31,65,31,65,31,65,31,65,96,96,96,96
11213,1184.0,1431.0,1280.0,1826.0,248.0,547.0,86,196,86,196,86,196,86,196,282,282,282,282
11217,3105.0,3255.0,2373.0,2585.0,151.0,213.0,65,108,65,108,65,108,65,108,173,173,173,173
11218,1821.0,1971.0,1747.0,1959.0,151.0,213.0,36,78,36,78,36,78,36,78,114,114,114,114
11222,3438.0,3588.0,2913.0,3125.0,151.0,213.0,41,71,41,71,41,71,41,71,112,112,112,112
11226,2834.0,2984.0,2334.0,2546.0,151.0,213.0,24,94,24,94,24,94,24,94,118,118,118,118
11228,1534.0,1684.0,1634.0,1846.0,151.0,213.0,39,105,39,105,39,105,39,105,144,144,144,144
11232,1510.0,1660.0,1145.0,1357.0,151.0,213.0,30,67,30,67,30,67,30,67,97,97,97,97
11239,2590.0,2740.0,2143.0,2355.0,151.0,213.0,20,65,20,65,20,65,20,65,85,85,85,85
11240,3247.0,3397.0,2781.0,2993.0,151.0,213.0,13,78,13,78,13,78,13,78,91,91,91,91
11242,748.0,898.0,543.0,755.0,151.0,213.0,53,60,53,60,53,60,53,60,113,113,113,113
11244,1020.0,1170.0,1182.0,1394.0,151.0,213.0,135,78,135,78,135,78,135,78,213,213,213,213
11246,3553.0,3703.0,2928.0,3140.0,151.0,213.0,45,54,45,54,45,54,45,54,99,99,99,99
11247,1758.0,1908.0,1231.0,1443.0,151.0,213.0,39,89,39,89,39,89,39,89,128,128,128,128
11250,1540.0,1690.0,1489.0,1701.0,151.0,213.0,58,74,58,74,58,74,58,74,132,132,132,132
11251,2314.0,2464.0,1903.0,2115.0,151.0,213.0,62,114,62,114,62,114,62,114,176,176,176,176
11252,2523.0,2738.0,1521.0,2029.0,216.0,509.0,57,196,57,196,57,196,57,196,253,253,253,253
11256,2858.0,3008.0,2639.0,2851.0,151.0,213.0,61,120,61,120,61,120,61,120,181,181,181,181
11259,2510.0,2660.0,2297.0,2509.0,151.0,213.0,67,71,67,71,67,71,67,71,138,138,138,138
11261,2828.0,2978.0,2473.0,2685.0,151.0,213.0,43,67,43,67,43,67,43,67,110,110,110,110
11268,2768.0,2918.0,2522.0,2734.0,151.0,213.0,70,85,70,85,70,85,70,85,155,155,155,155
11269,1084.0,1234.0,1018.0,1230.0,151.0,213.0,89,61,89,61,89,61,89,61,150,150,150,150
11271,3340.0,3490.0,2848.0,3061.0,151.0,214.0,52,48,52,48,52,48,52,48,100,100,100,100
11281,1676.0,1826.0,1504.0,1716.0,151.0,213.0,28,98,28,98,28,98,28,98,126,126,126,126
11283,1441.0,1657.0,1504.0,2021.0,217.0,518.0,61,188,61,188,61,188,61,188,249,249,249,249
11290,3356.0,3506.0,2949.0,3161.0,151.0,213.0,58,34,58,34,58,34,58,34,92,92,92,92
11291,2667.0,2817.0,2461.0,2673.0,151.0,213.0,34,59,34,59,34,59,34,59,93,93,93,93
11292,1440.0,1590.0,1094.0,1306.0,151.0,213.0,78,101,78,101,78,101,78,101,179,179,179,179
11293,1482.0,1632.0,1419.0,1632.0,151.0,214.0,76,105,76,105,76,105,76,105,181,181,181,181
11294,852.0,1002.0,874.0,1086.0,151.0,213.0,92,90,92,90,92,90,92,90,182,182,182,182
11295,3335.0,3485.0,2870.0,3082.0,151.0,213.0,60,75,60,75,60,75,60,75,135,135,135,135
11300,1204.0,1354.0,1420.0,1632.0,151.0,213.0,48,70,48,70,48,70,48,70,118,118,118,118
11301,2700.0,2850.0,2255.0,2467.0,151.0,213.0,33,65,33,65,33,65,33,65,98,98,98,98
11303,2897.0,3047.0,2207.0,2419.0,151.0,213.0,26,65,26,65,26,65,26,65,91,91,91,91
11307,951.0,1226.0,1090.0,1659.0,276.0,570.0,143,267,143,267,143,267,143,267,410,410,410,410
11316,2649.0,2799.0,2023.0,2235.0,151.0,213.0,19,59,19,59,19,59,19,59,78,78,78,78
11320,2374.0,2524.0,2101.0,2313.0,151.0,213.0,62,61,62,61,62,61,62,61,123,123,123,123
